accession_8k,ticker,filed_8k,period_of_report,fye_month,fy_xbrl,q_xbrl,fy_math,q_math,agreement,matched_accession_periodic,periodic_created,form_type_periodic,reason
0001410636-23-000117,AWK,2023-07-26T16:34:02-04:00,,12,,,,,,,,,not_same_event_periodic
0001193125-23-268266,AWK,2023-11-01T16:40:40-04:00,,12,,,,,,,,,not_same_event_periodic
0001410636-24-000051,AWK,2024-02-14T16:32:25-05:00,,12,,,,,,,,,not_same_event_periodic
0001410636-24-000093,AWK,2024-05-01T16:32:59-04:00,,12,,,,,,,,,not_same_event_periodic
0001410636-24-000135,AWK,2024-07-31T16:31:33-04:00,,12,,,,,,,,,not_same_event_periodic
0001193125-24-247634,AWK,2024-10-30T16:48:07-04:00,,12,,,,,,,,,not_same_event_periodic
0001410636-25-000023,AWK,2025-02-19T16:32:11-05:00,,12,,,,,,,,,not_same_event_periodic
0001410636-25-000084,AWK,2025-04-30T16:31:29-04:00,,12,,,,,,,,,not_same_event_periodic
0001410636-25-000151,AWK,2025-07-30T16:33:18-04:00,,12,,,,,,,,,not_same_event_periodic
0001193125-25-256430,AWK,2025-10-29T16:37:42-04:00,,12,,,,,,,,,not_same_event_periodic
0001410636-26-000035,AWK,2026-02-18T16:36:40-05:00,,12,,,,,,,,,not_same_event_periodic
0001144215-23-000011,AYI,2023-01-09T07:38:17-05:00,,8,,,,,,,,,not_same_event_periodic
0001144215-23-000055,AYI,2023-04-04T07:38:23-04:00,,8,,,,,,,,,not_same_event_periodic
0001144215-23-000071,AYI,2023-06-29T07:43:03-04:00,,8,,,,,,,,,not_same_event_periodic
0001144215-24-000007,AYI,2024-01-09T07:44:00-05:00,,8,,,,,,,,,not_same_event_periodic
0001144215-24-000046,AYI,2024-04-03T07:21:18-04:00,,8,,,,,,,,,not_same_event_periodic
0001144215-24-000070,AYI,2024-06-27T07:30:03-04:00,,8,,,,,,,,,not_same_event_periodic
0001144215-25-000010,AYI,2025-01-08T07:31:40-05:00,,8,,,,,,,,,not_same_event_periodic
0001144215-25-000045,AYI,2025-04-03T07:45:19-04:00,,8,,,,,,,,,not_same_event_periodic
0001144215-25-000061,AYI,2025-06-26T07:22:56-04:00,,8,,,,,,,,,not_same_event_periodic
0001144215-26-000012,AYI,2026-01-08T07:40:23-05:00,,8,,,,,,,,,not_same_event_periodic
0001144215-26-000023,AYI,2026-04-02T07:25:54-04:00,,8,,,,,,,,,not_same_event_periodic
0001628280-26-023185,BDX,2026-04-02T16:18:23-04:00,,9,,,,,,,,,not_same_event_periodic
0001786352-24-000044,BILL,2024-11-07T16:06:45-05:00,2024-09-30,6,2024,Q1,2025,Q1,false,0001786352-24-000045,2024-11-07T17:39:52-05:00,10-Q,xbrl_math_disagree
0001531152-23-000017,BJ,2023-03-09T07:12:18-05:00,2023-01-28,1,2022,Q4,2023,Q4,false,0001531152-23-000026,2023-03-16T16:15:49-04:00,10-K,xbrl_math_disagree
0001531152-23-000053,BJ,2023-05-23T06:58:10-04:00,2023-04-29,1,2023,Q1,2024,Q1,false,0001531152-23-000057,2023-05-26T06:56:29-04:00,10-Q,xbrl_math_disagree
0001531152-23-000107,BJ,2023-08-22T06:58:17-04:00,2023-07-29,1,2023,Q2,2024,Q2,false,0001531152-23-000111,2023-08-25T06:59:11-04:00,10-Q,xbrl_math_disagree
0001531152-23-000139,BJ,2023-11-17T06:56:49-05:00,2023-10-28,1,2023,Q3,2024,Q3,false,0001531152-23-000143,2023-11-22T07:08:06-05:00,10-Q,xbrl_math_disagree
0001531152-24-000014,BJ,2024-03-07T07:16:35-05:00,2024-02-03,1,2023,Q4,2024,Q4,false,0001531152-24-000026,2024-03-18T16:12:25-04:00,10-K,xbrl_math_disagree
0001531152-24-000067,BJ,2024-05-23T06:54:36-04:00,2024-05-04,1,2024,Q1,2025,Q1,false,0001531152-24-000071,2024-05-30T16:42:20-04:00,10-Q,xbrl_math_disagree
0001531152-24-000127,BJ,2024-08-22T07:01:17-04:00,2024-08-03,1,2024,Q2,2025,Q2,false,0001531152-24-000135,2024-08-29T17:30:43-04:00,10-Q,xbrl_math_disagree
0001531152-24-000157,BJ,2024-11-21T07:00:40-05:00,2024-11-02,1,2024,Q3,2025,Q3,false,0001531152-24-000161,2024-11-27T06:58:37-05:00,10-Q,xbrl_math_disagree
0001531152-25-000006,BJ,2025-03-06T06:52:43-05:00,2025-02-01,1,2024,Q4,2025,Q4,false,0001531152-25-000013,2025-03-14T16:15:43-04:00,10-K,xbrl_math_disagree
0001531152-25-000050,BJ,2025-05-22T07:01:46-04:00,2025-05-03,1,2025,Q1,2026,Q1,false,0001531152-25-000057,2025-05-29T16:38:31-04:00,10-Q,xbrl_math_disagree
0001531152-25-000097,BJ,2025-08-22T07:01:47-04:00,2025-08-02,1,2025,Q2,2026,Q2,false,0001531152-25-000105,2025-08-28T16:11:51-04:00,10-Q,xbrl_math_disagree
0001531152-25-000127,BJ,2025-11-21T07:02:10-05:00,2025-11-01,1,2025,Q3,2026,Q3,false,0001531152-25-000131,2025-11-26T07:06:51-05:00,10-Q,xbrl_math_disagree
