ticker,accession,formType,filedAt,in_secapi,in_edgar,in_neo4j,gap_type
ZI,0001794515-23-000041,8-K,2023-03-02,NO,YES,NO,SOURCE_GAP
ZI,0001794515-25-000184,10-Q,2025-11-03,NO,YES,NO,SOURCE_GAP
ZI,0001794515-24-000132,8-K,2024-08-05,NO,YES,NO,SOURCE_GAP
ZI,0001794515-24-000074,10-Q,2024-05-07,NO,YES,NO,SOURCE_GAP
ZI,0001794515-23-000158,8-K,2023-09-29,NO,YES,NO,SOURCE_GAP
ZI,0001794515-23-000109,8-K,2023-06-02,NO,YES,NO,SOURCE_GAP
ZI,0001794515-24-000011,8-K,2024-02-12,NO,YES,NO,SOURCE_GAP
ZI,0001794515-24-000137,10-Q,2024-08-06,NO,YES,NO,SOURCE_GAP
ZI,0001794515-26-000012,10-K,2026-02-12,NO,YES,NO,SOURCE_GAP
ZI,0001794515-24-000211,10-K/A,2024-12-20,NO,YES,NO,SOURCE_GAP
ZI,0001794515-25-000042,8-K,2025-02-25,NO,YES,NO,SOURCE_GAP
ZI,0001794515-23-000053,8-K,2023-03-13,NO,YES,NO,SOURCE_GAP
ZI,0001794515-24-000183,8-K,2024-11-12,NO,YES,NO,SOURCE_GAP
ZI,0001794515-23-000167,8-K,2023-10-30,NO,YES,NO,SOURCE_GAP
ZI,0001794515-23-000169,10-Q,2023-10-30,NO,YES,NO,SOURCE_GAP
ZI,0001794515-25-000007,8-K,2025-01-16,NO,YES,NO,SOURCE_GAP
ZI,0001794515-25-000188,8-K,2025-11-28,NO,YES,NO,SOURCE_GAP
ZI,0001794515-25-000097,8-K,2025-05-12,NO,YES,NO,SOURCE_GAP
ZI,0001794515-24-000072,8-K,2024-05-07,NO,YES,NO,SOURCE_GAP
ZI,0001794515-25-000114,8-K,2025-05-16,NO,YES,NO,SOURCE_GAP
ZI,0001794515-23-000006,8-K,2023-01-04,NO,YES,NO,SOURCE_GAP
ZI,0001794515-26-000004,8-K,2026-02-09,NO,YES,NO,SOURCE_GAP
ZI,0001794515-23-000183,8-K,2023-12-11,NO,YES,NO,SOURCE_GAP
ZI,0001794515-23-000138,10-Q,2023-07-31,NO,YES,NO,SOURCE_GAP
